time,open,high,low,close,tick_volume,spread,real_volume,point
2024-07-28,2387.944,2403.181,2387.853,2397.091,11156,0,0,0.001
2024-07-29,2397.055,2402.488,2369.495,2381.143,146832,0,0,0.001
2024-07-30,2381.186,2412.878,2376.471,2409.807,149628,0,0,0.001
2024-07-31,2409.81,2450.951,2403.877,2445.743,174507,0,0,0.001
2024-08-01,2445.725,2462.302,2430.12,2445.844,204197,0,0,0.001
2024-08-02,2445.886,2477.704,2410.794,2441.892,265481,0,0,0.001
2024-08-04,2441.02,2446.317,2437.915,2440.952,13269,0,0,0.001
2024-08-05,2440.984,2458.836,2364.234,2404.837,361699,0,0,0.001
2024-08-06,2404.865,2418.371,2381.404,2383.788,233525,0,0,0.001
2024-08-07,2383.723,2407.059,2378.931,2384.791,182174,0,0,0.001
2024-08-08,2384.835,2427.818,2383.283,2424.595,181457,0,0,0.001
2024-08-09,2424.519,2437.055,2416.829,2430.805,144977,0,0,0.001
2024-08-11,2428.332,2433.24,2427.262,2427.927,6495,0,0,0.001
2024-08-12,2427.928,2476.033,2423.825,2475.536,134699,0,0,0.001
2024-08-13,2475.58,2476.963,2458.493,2464.06,143654,0,0,0.001
2024-08-14,2464.104,2480.064,2437.995,2449.408,195917,0,0,0.001
2024-08-15,2449.396,2470.095,2432.094,2457.298,189667,0,0,0.001
2024-08-16,2457.309,2509.783,2450.7,2507.82,159247,0,0,0.001
2024-08-18,2506.461,2506.778,2502.271,2506.414,7373,0,0,0.001
2024-08-19,2506.42,2507.482,2485.614,2503.544,149199,0,0,0.001
2024-08-20,2503.554,2531.668,2497.283,2512.964,163243,0,0,0.001
2024-08-21,2512.976,2519.942,2493.644,2512.783,157336,0,0,0.001
2024-08-22,2512.732,2514.701,2470.801,2487.564,159973,0,0,0.001
2024-08-23,2487.574,2518.35,2486.469,2512.357,157860,0,0,0.001
2024-08-25,2512.067,2516.683,2511.068,2515.917,7415,0,0,0.001
2024-08-26,2515.903,2527.009,2508.646,2515.511,146693,0,0,0.001
2024-08-27,2515.512,2529.043,2503.436,2525.269,154887,0,0,0.001
2024-08-28,2525.223,2525.813,2493.498,2508.11,147493,0,0,0.001
2024-08-29,2508.08,2528.669,2503.558,2519.613,155154,0,0,0.001
2024-08-30,2519.6,2526.914,2494.086,2503.342,168182,0,0,0.001
2024-09-01,2502.485,2504.76,2501.942,2502.98,5448,0,0,0.001
2024-09-02,2502.983,2507.31,2489.977,2497.242,100349,0,0,0.001
2024-09-03,2497.247,2506.247,2473.282,2493.223,190319,0,0,0.001
2024-09-04,2493.2,2500.266,2471.826,2495.829,165815,0,0,0.001
2024-09-05,2495.827,2523.574,2493.759,2517.282,168583,0,0,0.001
2024-09-06,2517.277,2529.232,2485.064,2497.555,235075,0,0,0.001
2024-09-08,2497.038,2498.276,2495.507,2496.869,6151,0,0,0.001
2024-09-09,2496.871,2507.701,2485.503,2506.813,160930,0,0,0.001
2024-09-10,2506.815,2518.849,2500.052,2518.678,148984,0,0,0.001
